index,relative_path,top,directory,name,inferred_category,usage,duration_sec,size_kb,channels,sample_rate,reference_count,first_references
1,Custom\AbilitySounds\AdrenalineActivate.ogg,Custom,Custom\AbilitySounds,AdrenalineActivate,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Adrenaline Activate。 代码标识：AdrenalineActivationSound。,5.50,99.6,2,44100,1,CalPlayer\CalamityPlayer.cs:473 (AdrenalineActivationSound)
2,Custom\AbilitySounds\AngelicAllianceActivation.ogg,Custom,Custom\AbilitySounds,AngelicAllianceActivation,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Angelic Alliance Activation。 代码标识：ActivationSound。,6.53,82.5,2,44100,1,Items\Accessories\AngelicAlliance.cs:18 (ActivationSound)
3,Custom\AbilitySounds\BloodflareRangerActivation.ogg,Custom,Custom\AbilitySounds,BloodflareRangerActivation,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Bloodflare Ranger Activation。 代码标识：ActivationSound。,0.81,16.7,2,44100,1,Items\Armor\Bloodflare\BloodflareHeadRanged.cs:16 (ActivationSound)
4,Custom\AbilitySounds\BloodflareRangerRecharge.ogg,Custom,Custom\AbilitySounds,BloodflareRangerRecharge,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Bloodflare Ranger Recharge。 代码标识：EndSound。,0.56,14.7,2,44100,1,Cooldowns\BloodflareRangedSet.cs:17 (EndSound)
5,Custom\AbilitySounds\BrimflameAbility.ogg,Custom,Custom\AbilitySounds,BrimflameAbility,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Brimflame Ability。 代码标识：ActivationSound。,1.62,32.3,2,44100,1,Items\Armor\Brimflame\BrimflameCowl.cs:18 (ActivationSound)
6,Custom\AbilitySounds\BrimflameRecharge.ogg,Custom,Custom\AbilitySounds,BrimflameRecharge,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Brimflame Recharge。 代码标识：EndSound。,0.97,16.2,2,44100,2,Cooldowns\BrimflameFrenzy.cs:20 (EndSound); Projectiles\Ranged\CondemnationHoldout.cs:100 (fire)
7,Custom\AbilitySounds\ChaosStateOver.ogg,Custom,Custom\AbilitySounds,ChaosStateOver,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Chaos State Over。 代码标识：EndSound。,1.27,24.6,2,44100,1,Cooldowns\ChaosState.cs:17 (EndSound)
8,Custom\AbilitySounds\DarklightEnergyCharged.ogg,Custom,Custom\AbilitySounds,DarklightEnergyCharged,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Darklight Energy Charged。 代码标识：maxEnergyReached。,0.75,20.2,2,48000,2,CalPlayer\CalamityPlayerMiscEffects.cs:415 (maxEnergyReached); CalPlayer\CalamityPlayerMiscEffects.cs:472 (maxEnergyReached)
9,Custom\AbilitySounds\DemonshadeEnrage.ogg,Custom,Custom\AbilitySounds,DemonshadeEnrage,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Demonshade Enrage。 代码标识：ActivationSound。,3.19,53.6,2,44100,1,Items\Armor\Demonshade\DemonshadeHelm.cs:19 (ActivationSound)
10,Custom\AbilitySounds\DesertProwlerCDReset.ogg,Custom,Custom\AbilitySounds,DesertProwlerCDReset,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Desert Prowler CD Reset。 代码标识：CDResetSound。,1.50,28.4,2,44100,1,Items\Armor\DesertProwler\DesertProwlerSet.cs:23 (CDResetSound)
11,Custom\AbilitySounds\DesertProwlerSmokeBomb.ogg,Custom,Custom\AbilitySounds,DesertProwlerSmokeBomb,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Desert Prowler Smoke Bomb。 代码标识：SmokeBombSound。,5.51,93.8,2,44100,1,Items\Armor\DesertProwler\DesertProwlerSet.cs:21 (SmokeBombSound)
12,Custom\AbilitySounds\DesertProwlerSmokeBombEnd.ogg,Custom,Custom\AbilitySounds,DesertProwlerSmokeBombEnd,玩家能力,玩家能力/套装或冷却提示音效；动作：循环/开始结束/预警；主题：Desert Prowler Smoke Bomb End。 代码标识：SmokeBombEndSound。,1.41,24.6,2,44100,1,Items\Armor\DesertProwler\DesertProwlerSet.cs:22 (SmokeBombEndSound)
13,Custom\AbilitySounds\DesertProwlerSmokeBombReload.ogg,Custom,Custom\AbilitySounds,DesertProwlerSmokeBombReload,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Desert Prowler Smoke Bomb Reload。 代码标识：EndSound。,1.86,40.0,2,44100,1,Cooldowns\SandsmokeBomb.cs:30 (EndSound)
14,Custom\AbilitySounds\FullAdrenaline.ogg,Custom,Custom\AbilitySounds,FullAdrenaline,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Full Adrenaline。 代码标识：AdrenalineFilledSound。,0.65,10.8,2,44100,1,CalPlayer\CalamityPlayer.cs:472 (AdrenalineFilledSound)
15,Custom\AbilitySounds\FullRage.ogg,Custom,Custom\AbilitySounds,FullRage,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Full Rage。 代码标识：RageFilledSound。,0.62,10.3,1,44100,1,CalPlayer\CalamityPlayer.cs:468 (RageFilledSound)
16,Custom\AbilitySounds\NanomachinesActivate.ogg,Custom,Custom\AbilitySounds,NanomachinesActivate,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Nanomachines Activate。 代码标识：NanomachinesActivationSound。,3.64,68.6,2,44100,1,CalPlayer\CalamityPlayer.cs:476 (NanomachinesActivationSound)
17,Custom\AbilitySounds\OmegaBlueAbility.ogg,Custom,Custom\AbilitySounds,OmegaBlueAbility,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Omega Blue Ability。 代码标识：OverheatSound。,1.93,39.0,2,44100,2,Projectiles\Ranged\SpectralstormCannonHoldout.cs:28 (OverheatSound); Items\Armor\OmegaBlue\OmegaBlueHelmet.cs:19 (ActivationSound)
18,Custom\AbilitySounds\OmegaBlueRecharge.ogg,Custom,Custom\AbilitySounds,OmegaBlueRecharge,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Omega Blue Recharge。 代码标识：EndSound。,0.86,17.4,2,44100,1,Cooldowns\OmegaBlue.cs:24 (EndSound)
19,Custom\AbilitySounds\PlagueReaperAbility.ogg,Custom,Custom\AbilitySounds,PlagueReaperAbility,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Plague Reaper Ability。 代码标识：ActivationSound。,1.30,27.2,2,44100,1,Items\Armor\PlagueReaper\PlagueReaperMask.cs:17 (ActivationSound)
20,Custom\AbilitySounds\PlagueReaperRecharge.ogg,Custom,Custom\AbilitySounds,PlagueReaperRecharge,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Plague Reaper Recharge。 代码标识：EndSound。,0.85,19.5,2,44100,1,Cooldowns\PlagueBlackout.cs:22 (EndSound)
21,Custom\AbilitySounds\PotionSicknessOver.ogg,Custom,Custom\AbilitySounds,PotionSicknessOver,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Potion Sickness Over。 代码标识：EndSound。,1.50,34.2,2,48000,2,Cooldowns\PanaceaCooldown.cs:16 (EndSound); Cooldowns\PotionSickness.cs:16 (EndSound)
22,Custom\AbilitySounds\RageActivate.ogg,Custom,Custom\AbilitySounds,RageActivate,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Rage Activate。 代码标识：RageActivationSound。,3.92,70.8,2,44100,1,CalPlayer\CalamityPlayer.cs:469 (RageActivationSound)
23,Custom\AbilitySounds\RageEnd.ogg,Custom,Custom\AbilitySounds,RageEnd,玩家能力,玩家能力/套装或冷却提示音效；动作：循环/开始结束/预警；主题：Rage End。 代码标识：RageEndSound。,1.72,34.7,2,44100,1,CalPlayer\CalamityPlayer.cs:470 (RageEndSound)
24,Custom\AbilitySounds\SilvaActivation.ogg,Custom,Custom\AbilitySounds,SilvaActivation,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Silva Activation。 代码标识：AbsorberHit。,2.41,36.4,2,44100,2,CalPlayer\CalamityPlayer.cs:485 (AbsorberHit); Items\Armor\Silva\SilvaArmor.cs:16 (ActivationSound)
25,Custom\AbilitySounds\SilvaDispel.ogg,Custom,Custom\AbilitySounds,SilvaDispel,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Silva Dispel。 代码标识：DispelSound。,2.16,30.8,2,44100,1,Items\Armor\Silva\SilvaArmor.cs:17 (DispelSound)
26,Custom\AbilitySounds\WulfrumBastionActivate.ogg,Custom,Custom\AbilitySounds,WulfrumBastionActivate,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Wulfrum Bastion Activate。 代码标识：SetActivationSound。,2.52,48.5,2,48000,1,Items\Armor\Wulfrum\WulfrumSet.cs:33 (SetActivationSound)
27,Custom\AbilitySounds\WulfrumBastionBreak.ogg,Custom,Custom\AbilitySounds,WulfrumBastionBreak,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Wulfrum Bastion Break。 代码标识：SetBreakSound。,2.40,49.5,2,48000,1,Items\Armor\Wulfrum\WulfrumSet.cs:34 (SetBreakSound)
28,Custom\AbilitySounds\WulfrumBastionBreakSafely.ogg,Custom,Custom\AbilitySounds,WulfrumBastionBreakSafely,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Wulfrum Bastion Break Safely。 代码标识：SetBreakSoundSafe。,2.40,49.4,2,48000,1,Items\Armor\Wulfrum\WulfrumSet.cs:35 (SetBreakSoundSafe)
29,Custom\AbilitySounds\WulfrumBastionRecharge.ogg,Custom,Custom\AbilitySounds,WulfrumBastionRecharge,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Wulfrum Bastion Recharge。 代码标识：EndSound。,1.46,26.2,2,48000,1,Cooldowns\WulfrumBastion.cs:29 (EndSound)
30,Custom\AbyssDrown.ogg,Custom,Custom,AbyssDrown,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Abyss Drown。 代码标识：DrownSound。,2.54,46.3,2,192000,1,CalPlayer\CalamityPlayer.cs:482 (DrownSound)
31,Custom\AbyssGravelMine1.ogg,Custom,Custom,AbyssGravelMine1,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Abyss Gravel Mine。 代码标识：MineSound。,0.30,10.5,2,44100,2,Tiles\Abyss\AbyssGravel.cs:15 (MineSound); Tiles\Abyss\SulphurousShale.cs:17 (MineSound)
32,Custom\AbyssGravelMine2.ogg,Custom,Custom,AbyssGravelMine2,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Abyss Gravel Mine。 代码标识：MineSound。,0.29,10.4,2,44100,4,Tiles\Abyss\AbyssGravel.cs:15 (MineSound); Tiles\Abyss\SulphurousShale.cs:17 (MineSound); Projectiles\Melee\AbyssBladeProjectile.cs:213 (HitSound); 另 1 处
33,Custom\AbyssGravelMine3.ogg,Custom,Custom,AbyssGravelMine3,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Abyss Gravel Mine。 代码标识：MineSound。,0.27,9.5,2,44100,2,Tiles\Abyss\AbyssGravel.cs:15 (MineSound); Tiles\Abyss\SulphurousShale.cs:17 (MineSound)
34,Custom\AdrenalineMajorLoss.ogg,Custom,Custom,AdrenalineMajorLoss,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Adrenaline Major Loss。 代码标识：AdrenalineHurtSound。,1.86,32.7,2,44100,1,CalPlayer\CalamityPlayer.cs:474 (AdrenalineHurtSound)
35,Custom\AdrenalineMajorLossGFB.ogg,Custom,Custom,AdrenalineMajorLossGFB,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Adrenaline Major Loss GFB。 代码标识：AdrenalineHurtGFB。,1.08,15.3,2,32000,1,CalPlayer\CalamityPlayer.cs:475 (AdrenalineHurtGFB)
36,Custom\AndromedaCripple.ogg,Custom,Custom,AndromedaCripple,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Andromeda Cripple。 代码标识：CrippleSound。,0.38,7.1,2,44100,1,Items\Weapons\Summon\FlamsteedRing.cs:24 (CrippleSound)
37,Custom\ArianeShot.ogg,Custom,Custom,ArianeShot,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：射击/发射；主题：Ariane Shot。 首处代码上下文：LiliesOfFinalityBolt.cs。,10.02,80.4,1,48000,1,Projectiles\Summon\LiliesOfFinalityBolt.cs:104
38,Custom\AstralBeaconOrbPulse.ogg,Custom,Custom,AstralBeaconOrbPulse,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：激活/使用/UI；主题：Astral Beacon Orb Pulse。 代码标识：PulseSound。,0.36,7.7,2,44100,1,Projectiles\Boss\DeusRitualDrama.cs:17 (PulseSound)
39,Custom\AstralBeaconUse.ogg,Custom,Custom,AstralBeaconUse,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：激活/使用/UI；主题：Astral Beacon Use。 代码标识：UseSound。,0.88,17.0,2,44100,1,Tiles\Astral\AstralBeacon.cs:23 (UseSound)
40,Custom\AstralStarFall.ogg,Custom,Custom,AstralStarFall,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Astral Star Fall。 代码标识：MeteorSound。,9.65,130.1,2,44100,1,World\AstralBiome.cs:26 (MeteorSound)
41,Custom\AstrumAureus\AstrumAureusSpawn.ogg,Custom,Custom\AstrumAureus,AstrumAureusSpawn,自定义/Boss/系统,Custom\AstrumAureus 专用音效；动作：移动/生成/阶段转换；主题：Astrum Aureus Spawn。 代码标识：UseSound。,2.38,34.7,2,48000,1,Items\SummonItems\AstralChunk.cs:17 (UseSound)
42,Custom\AstrumAureus\AureusJump.ogg,Custom,Custom\AstrumAureus,AureusJump,自定义/Boss/系统,Custom\AstrumAureus 专用音效；动作：通用/特殊；主题：Aureus Jump。 代码标识：JumpSound。,1.48,25.3,2,44100,1,NPCs\AstrumAureus\AstrumAureus.cs:46 (JumpSound)
43,Custom\AstrumAureus\AureusShoot.ogg,Custom,Custom\AstrumAureus,AureusShoot,自定义/Boss/系统,Custom\AstrumAureus 专用音效；动作：射击/发射；主题：Aureus Shoot。 代码标识：LaserSound。,0.44,13.8,2,44100,1,NPCs\AstrumAureus\AstrumAureus.cs:43 (LaserSound)
44,Custom\AstrumAureus\AureusShootCrystal.ogg,Custom,Custom\AstrumAureus,AureusShootCrystal,自定义/Boss/系统,Custom\AstrumAureus 专用音效；动作：射击/发射；主题：Aureus Shoot Crystal。 代码标识：FlameCrystalSound。,0.70,20.4,2,44100,1,NPCs\AstrumAureus\AstrumAureus.cs:44 (FlameCrystalSound)
45,Custom\AstrumAureus\AureusTeleport.ogg,Custom,Custom\AstrumAureus,AureusTeleport,自定义/Boss/系统,Custom\AstrumAureus 专用音效；动作：移动/生成/阶段转换；主题：Aureus Teleport。 代码标识：TeleportSound。,1.21,32.0,2,44100,1,NPCs\AstrumAureus\AstrumAureus.cs:47 (TeleportSound)
46,Custom\AstrumAureus\LegStomp.ogg,Custom,Custom\AstrumAureus,LegStomp,自定义/Boss/系统,Custom\AstrumAureus 专用音效；动作：近战挥击/撞击；主题：Leg Stomp。 代码标识：StompSound。,0.79,21.7,2,44100,1,NPCs\AstrumAureus\AstrumAureus.cs:45 (StompSound)
47,Custom\AstrumDeus\AstrumDeusGodRay.ogg,Custom,Custom\AstrumDeus,AstrumDeusGodRay,自定义/Boss/系统,Custom\AstrumDeus 专用音效；动作：激光/光束；主题：Astrum Deus God Ray。 代码标识：GodRaySound。,0.48,11.3,2,44100,1,NPCs\AstrumDeus\AstrumDeusHead.cs:43 (GodRaySound)
48,Custom\AstrumDeus\AstrumDeusLaser.ogg,Custom,Custom\AstrumDeus,AstrumDeusLaser,自定义/Boss/系统,Custom\AstrumDeus 专用音效；动作：激光/光束；主题：Astrum Deus Laser。 代码标识：LaserSound。,0.42,10.9,2,44100,1,NPCs\AstrumDeus\AstrumDeusHead.cs:42 (LaserSound)
49,Custom\AstrumDeus\AstrumDeusMine.ogg,Custom,Custom\AstrumDeus,AstrumDeusMine,自定义/Boss/系统,Custom\AstrumDeus 专用音效；动作：采掘/破碎/物块碰撞；主题：Astrum Deus Mine。 代码标识：SmallBeamSound。,1.00,22.0,2,44100,2,Projectiles\Ranged\TauCannonHoldout.cs:73 (SmallBeamSound); NPCs\AstrumDeus\AstrumDeusHead.cs:44 (MineSound)
50,Custom\AstrumDeus\AstrumDeusSpawn.ogg,Custom,Custom\AstrumDeus,AstrumDeusSpawn,自定义/Boss/系统,Custom\AstrumDeus 专用音效；动作：移动/生成/阶段转换；主题：Astrum Deus Spawn。 代码标识：SpawnSound。,3.15,46.6,2,44100,1,NPCs\AstrumDeus\AstrumDeusHead.cs:41 (SpawnSound)
51,Custom\AstrumDeus\AstrumDeusSplit.ogg,Custom,Custom\AstrumDeus,AstrumDeusSplit,自定义/Boss/系统,Custom\AstrumDeus 专用音效；动作：通用/特殊；主题：Astrum Deus Split。 代码标识：SplitSound。,0.93,15.6,2,44100,1,NPCs\AstrumDeus\AstrumDeusHead.cs:45 (SplitSound)
52,Custom\AstrumDeus\DeusMineExplode.ogg,Custom,Custom\AstrumDeus,DeusMineExplode,自定义/Boss/系统,Custom\AstrumDeus 专用音效；动作：爆炸/爆裂；主题：Deus Mine Explode。 代码标识：ExplodeSound。,0.45,11.8,2,44100,1,Projectiles\Boss\DeusMine.cs:16 (ExplodeSound)
53,Custom\AtlasIdle1.ogg,Custom,Custom,AtlasIdle1,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：循环/开始结束/预警；主题：Atlas Idle。 代码标识：IdleSound。,0.67,11.7,2,44100,1,NPCs\Astral\Atlas.cs:56 (IdleSound)
54,Custom\AtlasIdle2.ogg,Custom,Custom,AtlasIdle2,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：循环/开始结束/预警；主题：Atlas Idle。 代码标识：IdleSound。,0.77,13.1,2,44100,1,NPCs\Astral\Atlas.cs:56 (IdleSound)
55,Custom\AtlasSadAggro.ogg,Custom,Custom,AtlasSadAggro,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Atlas Sad Aggro。 代码标识：AggroSound。,0.71,12.6,2,44100,1,NPCs\Astral\Atlas.cs:53 (AggroSound)
56,Custom\AtlasSadUnaggro.ogg,Custom,Custom,AtlasSadUnaggro,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Atlas Sad Unaggro。 代码标识：UnaggroSound。,0.87,15.0,2,44100,1,NPCs\Astral\Atlas.cs:54 (UnaggroSound)
57,Custom\AtlasSwing.ogg,Custom,Custom,AtlasSwing,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：近战挥击/撞击；主题：Atlas Swing。 代码标识：SwingSound。,0.72,12.9,2,44100,1,NPCs\Astral\Atlas.cs:55 (SwingSound)
58,Custom\AuricMine1.ogg,Custom,Custom,AuricMine1,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Auric Mine。 代码标识：MineSound。,0.34,10.2,2,44100,1,Tiles\Ores\AuricOre.cs:11 (MineSound)
59,Custom\AuricMine2.ogg,Custom,Custom,AuricMine2,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Auric Mine。 代码标识：MineSound。,0.25,9.4,2,44100,1,Tiles\Ores\AuricOre.cs:11 (MineSound)
60,Custom\AuricMine3.ogg,Custom,Custom,AuricMine3,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：采掘/破碎/物块碰撞；主题：Auric Mine。 代码标识：MineSound。,0.28,9.7,2,44100,1,Tiles\Ores\AuricOre.cs:11 (MineSound)
61,Custom\BEES\bees1.ogg,Custom,Custom\BEES,bees1,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,0.44,13.4,2,44100,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
62,Custom\BEES\bees10.ogg,Custom,Custom\BEES,bees10,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,0.74,9.1,2,44100,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
63,Custom\BEES\bees11.ogg,Custom,Custom\BEES,bees11,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,0.91,15.1,2,44100,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
64,Custom\BEES\bees12.ogg,Custom,Custom\BEES,bees12,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,1.12,15.1,2,44100,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
65,Custom\BEES\bees2.ogg,Custom,Custom\BEES,bees2,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,0.73,8.2,2,48000,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
66,Custom\BEES\bees3.ogg,Custom,Custom\BEES,bees3,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,1.05,9.2,2,48000,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
67,Custom\BEES\bees4.ogg,Custom,Custom\BEES,bees4,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,0.75,9.2,2,48000,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
68,Custom\BEES\bees5.ogg,Custom,Custom\BEES,bees5,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,2.07,34.6,2,44100,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
69,Custom\BEES\bees6.ogg,Custom,Custom\BEES,bees6,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,1.23,10.4,2,48000,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
70,Custom\BEES\bees7.ogg,Custom,Custom\BEES,bees7,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,1.89,14.7,2,48000,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
71,Custom\BEES\bees8.ogg,Custom,Custom\BEES,bees8,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,1.30,10.8,1,48000,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
72,Custom\BEES\bees9.ogg,Custom,Custom\BEES,bees9,自定义/Boss/系统,Custom\BEES 专用音效；动作：通用/特殊；主题：bees。 代码标识：bees。,1.00,11.1,2,48000,1,Projectiles\Ranged\HiveNuke.cs:182 (bees)
73,Custom\BloodPactCrit.ogg,Custom,Custom,BloodPactCrit,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：通用/特殊；主题：Blood Pact Crit。 首处代码上下文：TheMutilatorHoldoutProjectile.cs。,0.77,19.0,2,44100,2,Projectiles\Melee\TheMutilatorHoldoutProjectile.cs:105; Projectiles\Typeless\ClaretCannonProj.cs:51
74,Custom\BoomBoomKawaii.ogg,Custom,Custom,BoomBoomKawaii,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：爆炸/爆裂；主题：Boom Boom Kawaii。 首处代码上下文：ObliteratorYoyo.cs。,34.16,264.4,2,44100,1,Projectiles\Melee\Yoyos\ObliteratorYoyo.cs:75
75,Custom\BossRush\BossRushSummon1.ogg,Custom,Custom\BossRush,BossRushSummon1,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Summon。 代码标识：BossSummonSound。,2.18,36.9,2,44100,1,Events\BossRushEvent.cs:119 (BossSummonSound)
76,Custom\BossRush\BossRushSummon2.ogg,Custom,Custom\BossRush,BossRushSummon2,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Summon。 代码标识：BossSummonSound。,2.31,37.0,2,44100,1,Events\BossRushEvent.cs:119 (BossSummonSound)
77,Custom\BossRush\BossRushTeleport.ogg,Custom,Custom\BossRush,BossRushTeleport,自定义/Boss/系统,Boss Rush 事件流程；动作：移动/生成/阶段转换；主题：Boss Rush Teleport。 代码标识：TeleportSound。,1.81,27.5,2,44100,1,Events\BossRushEvent.cs:121 (TeleportSound)
78,Custom\BossRush\BossRushTerminusActivate.ogg,Custom,Custom\BossRush,BossRushTerminusActivate,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Terminus Activate。 代码标识：TerminusActivationSound。,5.81,81.9,2,44100,1,Events\BossRushEvent.cs:123 (TerminusActivationSound)
79,Custom\BossRush\BossRushTerminusCharge.ogg,Custom,Custom\BossRush,BossRushTerminusCharge,自定义/Boss/系统,Boss Rush 事件流程；动作：蓄力/充能/冷却；主题：Boss Rush Terminus Charge。 代码标识：StartBuildupSound。,5.52,78.0,2,44100,1,Events\BossRushEvent.cs:125 (StartBuildupSound)
80,Custom\BossRush\BossRushTerminusDeactivate.ogg,Custom,Custom\BossRush,BossRushTerminusDeactivate,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Terminus Deactivate。 代码标识：TerminusDeactivationSound。,3.81,54.2,2,44100,1,Events\BossRushEvent.cs:127 (TerminusDeactivationSound)
81,Custom\BossRush\BossRushTier2Transition.ogg,Custom,Custom\BossRush,BossRushTier2Transition,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Tier2 Transition。 代码标识：Tier2TransitionSound。,2.55,38.1,2,44100,1,Events\BossRushEvent.cs:129 (Tier2TransitionSound)
82,Custom\BossRush\BossRushTier3Transition.ogg,Custom,Custom\BossRush,BossRushTier3Transition,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Tier3 Transition。 代码标识：Tier3TransitionSound。,2.59,44.9,2,44100,1,Events\BossRushEvent.cs:131 (Tier3TransitionSound)
83,Custom\BossRush\BossRushTier4Transition.ogg,Custom,Custom\BossRush,BossRushTier4Transition,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Tier4 Transition。 代码标识：Tier4TransitionSound。,3.40,53.9,2,44100,1,Events\BossRushEvent.cs:133 (Tier4TransitionSound)
84,Custom\BossRush\BossRushTier5Transition.ogg,Custom,Custom\BossRush,BossRushTier5Transition,自定义/Boss/系统,Boss Rush 事件流程；动作：激活/使用/UI；主题：Boss Rush Tier5 Transition。 代码标识：Tier5TransitionSound。,5.01,72.6,2,44100,1,Events\BossRushEvent.cs:135 (Tier5TransitionSound)
85,Custom\BossRush\BossRushVictory.ogg,Custom,Custom\BossRush,BossRushVictory,自定义/Boss/系统,Boss Rush 事件流程；动作：通用/特殊；主题：Boss Rush Victory。 代码标识：VictorySound。,5.95,96.8,2,44100,1,Events\BossRushEvent.cs:137 (VictorySound)
