index,relative_path,top,directory,name,inferred_category,usage,duration_sec,size_kb,channels,sample_rate,reference_count,first_references
218,Custom\ExoMechs\ThanatosVent.ogg,Custom,Custom\ExoMechs,ThanatosVent,自定义/Boss/系统,Exo Mechs / Draedon 机械 Boss 音效；动作：通用/特殊；主题：Thanatos Vent。 代码标识：CoolingDownSound。,3.15,44.6,2,44100,2,Projectiles\Ranged\TauCannonHoldout.cs:75 (CoolingDownSound); NPCs\ExoMechs\Thanatos\ThanatosHead.cs:32 (VentSound)
219,Custom\ExoMechs\THanosGFBeam.ogg,Custom,Custom\ExoMechs,THanosGFBeam,自定义/Boss/系统,Exo Mechs / Draedon 机械 Boss 音效；动作：激光/光束；主题：T Hanos GF Beam。 代码标识：GFBeam。,8.93,121.7,2,44100,1,NPCs\ExoMechs\Thanatos\ThanatosHead.cs:36 (GFBeam)
220,Custom\ExoMechs\THanosLaser.ogg,Custom,Custom\ExoMechs,THanosLaser,自定义/Boss/系统,Exo Mechs / Draedon 机械 Boss 音效；动作：激光/光束；主题：T Hanos Laser。 代码标识：LaserSound。,6.80,91.6,2,44100,1,NPCs\ExoMechs\Thanatos\ThanatosHead.cs:34 (LaserSound)
221,Custom\FlamethrowerTurret.ogg,Custom,Custom,FlamethrowerTurret,自定义/Boss/系统,自定义系统/敌怪/Boss/环境音效；动作：射击/发射；主题：Flamethrower Turret。 首处代码上下文：FireShot.cs。,0.51,35.1,2,44100,1,Projectiles\Turret\FireShot.cs:52
222,Custom\GFB\GrandDad.ogg,Custom,Custom\GFB,GrandDad,自定义/Boss/系统,Get fixed boi / Zenith world 彩蛋音效；动作：通用/特殊；主题：Grand Dad。 代码标识：GrandDadEasterEggSound。,1.24,20.4,2,48000,1,Items\Weapons\Melee\GrandDad.cs:23 (GrandDadEasterEggSound)
223,Custom\GFB\HeComes.ogg,Custom,Custom\GFB,HeComes,自定义/Boss/系统,Get fixed boi / Zenith world 彩蛋音效；动作：通用/特殊；主题：He Comes。 代码标识：h。,0.76,32.5,2,44100,1,Projectiles\Summon\OldDukeHeadCorpse.cs:61 (h)
224,Custom\GFB\Jesus.ogg,Custom,Custom\GFB,Jesus,自定义/Boss/系统,Get fixed boi / Zenith world 彩蛋音效；动作：通用/特殊；主题：Jesus。 代码标识：gong。,3.24,62.5,2,44100,1,Projectiles\Rogue\ExorcismProj.cs:358 (gong)
225,Custom\GFB\LeonDeathNoiseRE4.ogg,Custom,Custom\GFB,LeonDeathNoiseRE4,自定义/Boss/系统,Get fixed boi / Zenith world 彩蛋音效；动作：死亡/击杀；主题：Leon Death Noise RE。 代码标识：LeonDeathNoiseRE4_ForGFB。,2.13,78.8,2,44100,1,CalPlayer\CalamityPlayer.cs:483 (LeonDeathNoiseRE4_ForGFB)
226,Custom\GFB\SevenTrebleClefSouls.ogg,Custom,Custom\GFB,SevenTrebleClefSouls,自定义/Boss/系统,Get fixed boi / Zenith world 彩蛋音效；动作：通用/特殊；主题：Seven Treble Clef Souls。 首处代码上下文：AnahitasArpeggioNote.cs。,40.30,606.4,2,48000,2,Projectiles\Magic\AnahitasArpeggioNote.cs:75; Projectiles\Magic\AnahitasArpeggioNote.cs:83
227,Custom\GFB\YouAreNotSafe.ogg,Custom,Custom\GFB,YouAreNotSafe,自定义/Boss/系统,Get fixed boi / Zenith world 彩蛋音效；动作：通用/特殊；主题：You Are Not Safe。 代码标识：h。,9.06,424.5,2,44100,1,Projectiles\Summon\OldDukeHeadCorpse.cs:87 (h)
